strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
VWAPReversion,NVDA,short,2025-09-22 13:40:00,2025-09-22 13:43:00,182.64999,183.01528998,1368,-499.73037264000436,183.01528998,179.87469821198718
VWAPReversion,NVDA,short,2025-09-22 13:43:00,2025-09-22 13:47:00,182.8851,183.25087019999998,1366,-499.64209319998065,183.25087019999998,179.8978529109252
VWAPReversion,NVDA,short,2025-09-22 13:46:00,2025-09-22 13:48:00,183.085007,183.451177014,1365,-499.82206911000685,183.451177014,179.92089888673067
VWAPReversion,NVDA,short,2025-09-22 13:50:00,2025-09-22 15:11:00,183.455,183.82191,1362,-499.7314199999865,183.82191,179.962025505502
VWAPReversion,NVDA,short,2025-09-22 13:52:00,2025-09-22 15:11:00,183.495,183.86199,1362,-499.84037999998236,183.86199,179.98162556916535
VWAPReversion,NVDA,short,2025-09-22 13:54:00,2025-09-22 15:11:00,183.47501,183.84196002,1362,-499.7859272399867,183.84196002,179.99326474529101
VWAPReversion,NVDA,short,2025-09-22 13:55:00,2025-09-22 15:10:00,183.39,183.75678,1363,-499.9211400000077,183.75678,180.00032829131825
VWAPReversion,NVDA,short,2025-09-22 13:56:00,2025-09-22 15:08:00,183.36,183.72672,1363,-499.83935999998175,183.72672,180.00712807520102
VWAPReversion,NVDA,short,2025-09-22 13:57:00,2025-09-22 15:00:00,183.034393,183.400461786,1365,-499.68389288999947,183.400461786,180.01588470863135
VWAPReversion,NVDA,short,2025-09-22 13:59:00,2025-09-22 15:00:00,183.080002,183.446162004,1365,-499.8084054599917,183.446162004,180.02807033032533
VWAPReversion,NVDA,short,2025-09-22 14:01:00,2025-09-22 15:00:00,183.014999,183.38102899799998,1366,-499.9969772679832,183.38102899799998,180.03905553722922
VWAPReversion,NVDA,short,2025-09-22 14:02:00,2025-09-22 15:00:00,182.995,183.36099000000002,1366,-499.9423400000146,183.36099000000002,180.04583782605383
VWAPReversion,NVDA,short,2025-09-22 14:04:00,2025-09-22 15:00:00,183.074997,183.441146994,1365,-499.79474181001535,183.441146994,180.05804661588135
VWAPReversion,NVDA,short,2025-09-22 14:05:00,2025-09-22 15:00:00,182.99989,183.36588978,1366,-499.9556994800135,183.36588978,180.0634910419737
VWAPReversion,NVDA,short,2025-09-22 14:06:00,2025-09-22 14:17:00,182.86501,183.23074002,1367,-499.9529373400012,183.23074002,180.07016531420518
VWAPReversion,NVDA,short,2025-09-22 14:07:00,2025-09-22 14:16:00,182.65559,183.02090117999998,1368,-499.745694239989,183.02090117999998,180.07779816721828
VWAPReversion,NVDA,short,2025-09-22 14:09:00,2025-09-22 14:16:00,182.6142,182.97942840000002,1369,-499.99767960000895,182.97942840000002,180.0869629155349
VWAPReversion,NVDA,short,2025-09-22 14:10:00,2025-09-22 14:15:00,182.565,182.93013,1369,-499.86296999999115,182.93013,180.09223138106293
VWAPReversion,NVDA,short,2025-09-22 14:13:00,2025-09-22 14:16:00,182.66499,183.03031998,1368,-499.7714126400174,183.03031998,180.1059135611352
VWAPReversion,NVDA,short,2025-09-22 14:17:00,2025-09-22 15:01:00,183.16,183.52632,1364,-499.6604800000024,183.52632,180.13279048219312
VWAPReversion,NVDA,short,2025-09-22 14:19:00,2025-09-22 15:00:00,183.044998,183.411087996,1365,-499.7128445399993,183.411087996,180.14228450836265
